Date,port_r_net,bh_r
2005-06-01,0.006430989431547118,0.006430989431547118
2005-06-02,0.006249534244560972,0.006249534244560972
2005-06-03,-0.006604466336879206,-0.006604466336879206
2005-06-06,0.002907552912224792,0.002907552912224792
2005-06-07,-0.0005953588113441324,-0.0005953588113441324
2005-06-08,-0.0024937919887305484,-0.0024937919887305484
2005-06-09,0.0020785410801660463,0.0020785410801660463
2005-06-10,-0.0040386304317355905,-0.0040386304317355905
2005-06-13,0.0013460569422341804,0.0013460569422341804
2005-06-14,-0.003187609971824529,-0.003187609971824529
2005-06-15,0.0024697095892225905,0.0024697095892225905
2005-06-16,0.007349933153288568,0.007349933153288568
2005-06-17,0.0018316602966249483,0.0018316602966249483
2005-06-20,-0.00024935996522627596,-0.00024935996522627596
2005-06-21,0.00262348067818004,0.00262348067818004
